Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
PKIG;Inert Gas Generation Package;"Includes Fuel gas supply system
Includes Ignition system
Includes Flame detection system
Includes Combustion control system
Includes Burner nozzle
Includes Refractory lining
Includes Thermocouples
Includes Pressure relief devices
Includes Burner management system (BMS)
Includes Instrumentation
Includes Burner Chamber unit
Excludes Valves (GVU)
Excludes Nitrogen bottle rack
Excludes Nitrogen Intensifier System
Excludes O2 Analyser Calibration
Excludes Separator vessel
Excludes Deck water seal
Excludes Scrubber unit
Excludes Flue Gas System and associated blowers, scrubbers etc that supply inert gas for tank blanketing";;;;;;;;;;;;;;;
SYMT;Mooring Tensioning Skidding System;"Includes Control system components
Includes Sensors and instrumentation
Includes Seals and gaskets
Includes Structural connections
Includes Electrical connections
Includes Lubrication system
Includes Cooling system
Includes Safety interlocks
Includes Emergency stop systems
Includes Alignment guides
Includes Wear plates
Includes Anchorage points
Includes Load monitoring sensors
Includes Position feedback devices
Includes Corrosion protection elements
Includes Vibration dampeners";;;;;;;;;;;;;;;
SJDR;Swivel Stack Driving Arm;"Includes Mounting bolts and fasteners
Includes Lubrication points
Includes Wear plates/bushings
Includes Alignment pins";;;;;;;;;;;;;;;
SWSK;Swivel Stack;No Boundary, create from scratch;;;;;;;;;;;;;;;
LSWB;Fire Cylinder Cabinet;"Includes Cabinet enclosures and doors
Includes Internal mounting brackets and supports
Includes Internal pressure relief devices
Includes Internal hose connections and fittings
Includes Internal signage and instructions
Includes Internal inspection windows
Includes Internal locking mechanisms
Includes Internal drainage provisions";;;;;;;;;;;;;;;
SEDC;Fire Fighting System, Dry Chemical;"Includes Dry chemical propellant gas system
Includes Dry chemical discharge nozzles
Includes Dry chemical piping and hoses
Includes Dry chemical activation system
Includes Dry chemical system pressure relief devices";;;;;;;;;;;;;;;
SEGA;Fire Fighting System, Miscellaneous Gaseous Fire S;"Includes Gas storage cylinders
Includes Pressure regulators
Includes Distribution piping
Includes Actuation mechanisms
Includes Nozzles and diffusers
Includes Detection and control system interfaces
Includes Pressure relief devices
Includes Manual release stations";;;;;;;;;;;;;;;
SPBM;Suction Bellmouth;"Includes Cathodic protection system
Includes Structural supports
Includes Welded joints
Includes Inspection ports
Includes Flow straighteners
Includes Vortex breakers
Includes Internal baffles
Includes Corrosion monitoring probes
Includes Flow measurement devices
Includes Acoustic monitoring sensors
Includes Vibration dampers
Includes Seal gaskets
Includes Fasteners
Includes Internal lining
Includes Nozzle connections";;;;;;;;;;;;;;;
OTSG;Once Through Steam Generator;"Includes Burner assembly
Includes Fuel gas train
Includes Flue gas damper
Includes Combustion chamber refractory
Includes Heat transfer tubes
Includes Tube supports
Includes Insulation
Includes Control system sensors
Includes Safety interlocks
Includes Ignition system
Includes Flame detection system
Includes Pressure relief devices
Includes Instrument air supply";;;;;;;;;;;;;;;
PKAO;Acetylene / Oxygen Distribution Package;"Includes Pressure regulators
Includes Pipe fittings
Includes Leak detection sensors
Includes Pressure test points
Includes Support structures
Includes Mounting brackets
Includes Electrical control wiring
Includes Instrumentation tubing
Includes Safety signage";;;;;;;;;;;;;;;
PKFV;Fuel Gas Valve Assembly;No Boundary, create from scratch;;;;;;;;;;;;;;;
PKGT;Combined dehydration/sweetening package;"Includes Regeneration heater
Includes Instrumentation sensors
Includes Piping and manifolds
Includes Insulation and heat tracing
Includes Pressure relief devices
Includes Seals and gaskets
Includes Electrical connections
Includes Control system components";;;;;;;;;;;;;;;
PKIF;Flare Ignition Package;"Includes Ignition transformer
Includes Ignition electrode
Includes Power supply unit
Includes Wiring and cabling
Includes Mounting hardware";;;;;;;;;;;;;;;
PKMH;Mooring Hawser Package;"Includes Hawser tension monitoring system
Includes Hawser wear indicators
Includes Hawser connection hardware
Includes Hawser storage/reel mechanism
Includes Hawser protection sleeves
Includes Hawser end fittings
Includes Hawser inspection access points
Includes Hawser tension equalization system
Includes Hawser deployment/retrieval controls
Includes Hawser emergency release mechanism";;;;;;;;;;;;;;;
PKOH;Offloading Hose Package;"Includes Quick release coupling
Includes Leak detection system
Includes Support structure
Includes Buoyancy elements
Includes Chafing protection
Includes Internal piping
Includes Internal instrumentation
Includes Internal control system
Includes Internal power supply
Includes Internal communication modules
Includes Internal diagnostic/test points";;;;;;;;;;;;;;;
PKSA;Sand Removal System;"Includes Sand collection hopper
Includes Drain system
Includes Structural supports";;;;;;;;;;;;;;;
PKSU;Suction Hose Package;"Includes Quick release coupling
Includes Internal support structure
Includes Internal corrosion protection
Includes Internal electrical connections
Includes Internal pneumatic connections
Includes Internal instrumentation wiring
Includes Internal power supply
Includes Internal PLC/controller modules
Includes Internal communication modules
Includes Internal diagnostic/test points";;;;;;;;;;;;;;;
PKXX;Package, Dummy;No Boundary, create from scratch;;;;;;;;;;;;;;;
RFRP;Rigid Pipe;"Includes Pipe supports and hangers
Includes Pipe insulation and cladding
Includes Pipe wall thickness monitoring points
Includes Pipe flange gaskets and bolts
Includes Pipe weld joints and connections
Includes Pipe external cathodic protection connections";;;;;;;;;;;;;;;
RFUM;Umbilical;No Boundary, create from scratch;;;;;;;;;;;;;;;
VEIG;Induced Gas Flotation Unit;"Includes Internal aeration system
Includes Internal skimming mechanism
Includes Internal chemical injection system
Includes Internal instrumentation wiring
Includes Internal PLC/controller modules
Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal surge protection devices
Includes Internal diagnostic/test points";;;;;;;;;;;;;;;
VERE;Reactor;"Includes Internal catalyst bed
Includes Internal refractory lining
Includes Internal thermal insulation
Includes Internal heating/cooling coils
Includes Internal baffles/trays
Includes Internal level instrumentation
Includes Internal temperature instrumentation
Includes Internal pressure instrumentation
Includes Internal sample ports
Includes Internal manways/access hatches
Includes Internal gaskets/seals
Includes Internal bolting/flanges
Includes Internal corrosion monitoring points
Includes Internal mixing elements
Includes Internal support grids";;;;;;;;;;;;;;;
APSW;Sample Point, Sea Water;"Includes Sample probe/nozzle
Includes Sample collection container/port
Includes Biofouling prevention system
Includes Venting arrangement
Includes Support structure/bracket";;;;;;;;;;;;;;;
HESC;Steam Condensor;"Includes Condenser tubes
Includes Tube sheets
Includes Tube support plates
Includes Water boxes
Includes Condensate collection tray
Includes Steam inlet nozzle
Includes Condensate outlet nozzle
Includes Vent connections
Includes Drain connections
Includes Air removal system
Includes Condenser shell
Includes Internal baffles
Includes Gaskets and seals
Includes Instrumentation connections
Includes Internal cathodic protection
Includes Condenser supports";;;;;;;;;;;;;;;
HYSC;Hydraulic Mooring Structural Connector;"Includes Electrical connectors and wiring
Includes Structural bolts and fasteners
Includes Lubrication points";;;;;;;;;;;;;;;
IPZE;Position Element;"Includes Position encoder
Includes Position feedback mechanism
Includes Position calibration device
Includes Position linkage/mechanical connection
Includes Position mounting hardware
Includes Position wiring/connectors";;;;;;;;;;;;;;;
LAEQ;Laundry equipment Miscellaneous;No Boundary, create from scratch;;;;;;;;;;;;;;;
LSFR;Fall Arrest Block & Retrievable Fall Arrestors;"Includes Fall arrest block housing
Includes Retrievable fall arrestor housing
Includes Arresting mechanism (e.g., braking system)
Includes Retrieval mechanism (e.g., winch or pulley system)
Includes Safety lanyards or lifelines
Includes Energy absorbers
Includes Connecting hardware (e.g., shackles, rings)
Includes Inspection/test points
Includes Mounting brackets or frames";;;;;;;;;;;;;;;
NQNO;OMTS;"Includes Internal power supplies
Includes Internal communication modules
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Internal circuit breakers/fuses
Includes Internal PLC/controller modules
Includes Internal surge protection devices
Includes Internal terminal blocks, cable trays, trunking and connectors
Includes Cabinet enclosures and doors
Includes Earthing arrangements";;;;;;;;;;;;;;;
SJSJ;Swivel Seal oil;"Includes Seal rings
Includes Gaskets
Includes Lubrication system
Includes Leak detection sensors
Includes Mounting bolts
Includes Alignment pins
Includes Seal housing
Includes Backup seals
Includes Wear indicators";;;;;;;;;;;;;;;
IPVC;Analyser, Viscosity;"Includes Sample probe
Includes Sample line/tubing
Includes Sample conditioning system
Includes Calibration fluid reservoir
Includes Sensor element
Includes Sensor housing/seals
Includes Heating/cooling element
Includes Temperature control system
Includes Viscosity reference standard
Includes Internal power supply
Includes Internal wiring/cabling
Includes Internal fuses/circuit breakers
Includes Internal communication modules
Includes Internal diagnostic/test points
Includes Internal cleaning system
Includes Internal calibration mechanism";;;;;;;;;;;;;;;
IPAM;Analyser, Mercury;"Includes Sample inlet probe
Includes Calibration gas/fluid supply system
Includes Internal power supply unit
Includes Internal electronic control board
Includes Internal sensor/transducer
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Internal communication modules
Includes Internal surge protection devices";;;;;;;;;;;;;;;
NQNM;Magnetic Compass;"Includes Compass bowl
Includes Compass card
Includes Lubricating fluid
Includes Gimbal system
Includes Damping mechanism
Includes Binnacle
Includes Lighting system
Includes Compensation magnets
Includes Deviation adjustment mechanism";;;;;;;;;;;;;;;
IPTU;Analyser, Turbidity;"Includes Light source (lamp/LED)
Includes Photodetector
Includes Optical window/flow cell
Includes Signal processing electronics
Includes Sample flow system
Includes Calibration standards
Includes Power supply unit";;;;;;;;;;;;;;;
